// Compost colors for aoa3. You may add your own colors, change existing ones, or remove colors that aren't needed.
abominator, #ffffff
shyrelands_realmstone, #a0b872
shyrestone_ingot, #90cfff
shyrestone_nugget, #7abbff
silver_coin, #c3c9cd
skelecanth, #bfbea2
skeletal_axe, #fffffa
skeletal_boots, #ffffff
skeletal_bow, #9b9682
skeletal_chestplate, #e7ffff
skeletal_crossbow, #b8a194
skeletal_helmet, #ffffff
skeletal_ingot, #ccb9a7
skeletal_leggings, #ffffff
skeletal_nugget, #b8a290
skeletal_pickaxe, #ffffff
skeletal_shovel, #ffffff
skeletal_sword, #797870
skullbone_fragment, #937c70
skullette, #ffffff
skullifact, #fffeff
skullo_blaster, #f4daff
sky_staff, #b1a16f
skydriver_bow, #ffcdaf
slice_star, #c6c5c6
slingshot, #fffaff
sludge_sniper, #e8f1e3
small_blue_petal, #d7faff
small_green_petal, #f2ffd7
small_orange_petal, #fffcd4
small_purple_petal, #ffd4ff
small_red_petal, #ffd7d0
small_skill_crystal, #ffffff
smile_blaster, #6c5f20
smiley_upgrade_kit, #d4c95a
sniper_frame, #ffffff
soul_drainer, #f4ffff
soul_spark, #ddf8ff
soul_storm, #ffffff
soulfire_bow, #daffff
soulstone_axe, #f2ffeb
soulstone_pickaxe, #c9f5be
soulstone_shovel, #e1ffda
sour_candy, #fff7eb
sour_gummy, #ccffff
sour_pop, #ff967d
spaceking_boots, #ffd7ff
spaceking_chestplate, #ffb5ff
spaceking_helmet, #fad3f1
spaceking_leggings, #ffc2ff
spearmint_candy, #ffffff
spectacle, #fffff0
spectral_bow, #a2ffff
spectral_crossbow, #5e97cf
speed_boots, #cafeff
speed_bow, #4a9196
speed_chestplate, #a2f1ff
speed_focus, #9abb9e
speed_helmet, #faffff
speed_leggings, #c0feff
spine_gun, #ffffff
spirit_shower, #ffffff
spreadshot, #ff7f68
squad_gun, #ffffff
stampede, #ffffff
staring_eye, #ffffff
stasis_capsule, #ff001e
sticky_slime, #dde6dc
storm_rune, #3d284a
storm_rune_banner_pattern, #ffffff
stormer, #ffffff
stranglewood_boat, #9d6e47
stranglewood_chest_boat, #966b3a
stranglewood_door, #a4724a
stranglewood_hanging_sign, #a0734e
stranglewood_sapling, #396b39
stranglewood_sign, #9e6e46
strike_rune, #303e47
strike_rune_banner_pattern, #ffffff
striker_staff, #8c7239
sublimus, #ffffff
subterranean_boots, #d4c0bf
subterranean_chestplate, #cca4a0
subterranean_greatblade, #9b9886
subterranean_helmet, #e8cfcf
subterranean_leggings, #c0a49e
sun_staff, #ffffff
sunshine_bow, #ffffdd
super_cannon, #ffffff
supremacy_sword, #e6c5f7
surge_staff, #ffffff
swarmotron, #fff0e1
sweet_sword, #e096a5
sweet_tooth, #ffffff
tangle_staff, #334a07
tangle_thorns, #70683e
tea, #d9d6d3
tea_seeds, #edffac
tea_shreddings, #fffffe
temporal_anvil, #ff001e
terminator, #f1f0f0
thermally_insulated_rod, #7a3e07
thorny_petals, #ffb8a5
thorny_plant_seeds, #ffeaff
tidal_greatblade, #feffff
tiger_tommy, #ffffff
tommy, #ffffff
torn_cloth, #f4eee4
torn_pages, #bbaf93
toxic_lump, #ffffff
toxic_terrorizer, #ffffff
toxin_bow, #789076
toy_gyrocopter, #ffffff
treasure_box, #b55407
treat_bag, #97ffff
trilliad_bloom, #e6ffe3
trilliad_leaves, #ebffff
trilliad_seeds, #ffffff
troll_basher_axe, #55542d
troll_idol, #afa78e
trolls_crossbow, #8c8447
tubeicles, #5b1528
turquoise_haven_sapling, #dcffff
turquoise_stripefish, #ffffff
ultimatum_staff, #be9e2a
ultra_cannon, #ffffff
ultraflame, #933e16
uncharged_stone, #f0f0f0
underworld_greatblade, #ffe8ea
underworld_staff, #721112
unpowered_rune, #302532
unstable_gunpowder, #ccebcd
urka_hide, #a5a5a5
utopian_boots, #fcffcd
utopian_chestplate, #d9fbab
utopian_helmet, #ddffc9
utopian_leggings, #e7ffc3
varsium_ingot, #de8a69
varsium_nugget, #dd836e
vile_stone, #ebffe1
vile_vanquisher, #ffffff
violet_skipper, #ffffff
viper_1, #ffffff
viral_crossbow, #5b7a41
vivo, #544625
void_boots, #e4d3ff
void_bow, #3c1950
void_chestplate, #b594ff
void_helmet, #faebff
void_leggings, #cfc0ff
void_scales, #919198
void_sword, #ab8ec8
voliant_heart, #6fd7e0
vortex_blaster, #ffffff
vox_cannon, #2f5b1c
vox_fungi, #86a576
vox_fungi_stem, #668358
vox_ponds_realmstone, #58694d
vox_tentacles, #deffe3
vox_tentacles_stem, #cfe6d0
vulcammer_maul, #edc6c5
vulcane, #ffffff
vulkram, #9e3d2c
warlock_gem, #f8c3c8
warlock_staff, #e0bcd2
warped_horn, #6e626b
wart_gun, #ffffff
water_balloon_bomber, #cfffdd
water_rune, #343a4d
water_rune_banner_pattern, #ffffff
water_staff, #545c47
waterlogged_aqua_cannon, #ffffff
waterlogged_coral_cannon, #ffffff
waterlogged_coral_clogger, #ffffff
waterlogged_coral_crossbow, #a59ad7
waterlogged_reefer, #d9e6ff
weaken_boots, #ffffc6
weaken_bow, #ae8a50
weaken_chestplate, #ffffc6
weaken_helmet, #ffffdc
weaken_leggings, #ffffc2
weapon_parts, #d7c8c6
weapons_case, #6f4b43
web_staff, #3a3332
whimsy_winder, #ffffff
white_celevians, #ffffff
white_crystal, #ffffff
white_crystal_plant, #ffffff
white_druse, #f0e6ee
white_gemstones, #ffffff
white_gemtrap, #939393
white_waterweeds, #ffffff
whitewashing_solution, #ffffff
wind_rune, #4e4854
wind_rune_banner_pattern, #ffffff
wind_staff, #69543c
wither_boots, #dddddd
wither_bow, #282828
wither_cannon, #292929
wither_chestplate, #9d9d9d
wither_helmet, #dedede
wither_leggings, #a8a8a8
wither_rune, #281e29
wither_rune_banner_pattern, #ffffff
wither_staff, #3d2c18
wither_vulcane, #fbf8f5
wither_vulcane_augment, #ab8779
withers_wrath, #ffffff
wizards_staff, #d4dae0
worn_book, #404040
wrecker, #ffffff
yellow_celebulbs, #fffae1
yellow_celevus_sapling, #ffffff
yellow_crystal, #ffffb6
yellow_crystal_plant, #ffff6f
yellow_daylooms, #ffff7f
yellow_druse, #fcda9a
yellow_gemstones, #ffff9e
yellow_gemtrap, #b67919
yellow_glowshroom, #ffff98
yellow_haven_sapling, #ffffff
yellow_havendales, #ffff94
yellow_havendales_stem, #ffff9b
yellow_lollypop, #ffd06f
yellow_mega_rune_fragment, #fffff5
yellow_spores, #ffffb9
yellow_waterweeds, #fffaa0
yeti_fingernails, #ffffff
zargonite_boots, #d0ffff
zargonite_chestplate, #9affff
zargonite_helmet, #c5f7ff
zargonite_leggings, #9effff
zhinx_dust, #fffffc
